         391  0.39100001857150346       0.41213270737474200     
         392  0.39200001861900091       0.41330256079879507     
         393  0.39300001866649836       0.41447337986116883     
         394  0.39400001871399581       0.41564516809943930     
         395  0.39500001876149327       0.41681792906090687     
         396  0.39600001880899072       0.41799166630264301     
         397  0.39700001885648817       0.41916638339153756     
         398  0.39800001890398562       0.42034208390434585     
         399  0.39900001895148307       0.42151877142773658     
         400  0.40000001899898052       0.42269644955833924     
         401  0.40100001904647797       0.42387512190279242     
         402  0.40200001909397542       0.42505479207779184     
         403  0.40300001914147288       0.42623546371013904     
         404  0.40400001918897033       0.42741714043678986     
         405  0.40500001923646778       0.42859982590490359     
         406  0.40600001928396523       0.42978352377189194     
         407  0.40700001933146268       0.43096823770546860     
         408  0.40800001937896013       0.43215397138369888     
         409  0.40900001942645758       0.43334072849504951     
         410  0.41000001947395504       0.43452851273843884     
         411  0.41100001952145249       0.43571732782328720     
         412  0.41200001956894994       0.43690717746956748     
         413  0.41300001961644739       0.43809806540785606     
         414  0.41400001966394484       0.43928999537938379     
         415  0.41500001971144229       0.44048297113608753     
         416  0.41600001975893974       0.44167699644066155     
         417  0.41700001980643719       0.44287207506660958     
         418  0.41800001985393465       0.44406821079829678     
         419  0.41900001990143210       0.44526540743100218     
         420  0.42000001994892955       0.44646366877097121     
         421  0.42100001999642700       0.44766299863546877     
         422  0.42200002004392445       0.44886340085283211     
         423  0.42300002009142190       0.45006487926252442     
         424  0.42400002013891935       0.45126743771518846     
         425  0.42500002018641680       0.45247108007270043     
         426  0.42600002023391426       0.45367581020822417     
         427  0.42700002028141171       0.45488163200626575     
         428  0.42800002032890916       0.45608854936272791     
         429  0.42900002037640661       0.45729656618496545     
         430  0.43000002042390406       0.45850568639184014     
         431  0.43100002047140151       0.45971591391377653     
         432  0.43200002051889896       0.46092725269281759     
         433  0.43300002056639642       0.46213970668268101     
         434  0.43400002061389387       0.46335327984881541     
         435  0.43500002066139132       0.46456797616845702     
         436  0.43600002070888877       0.46578379963068678     
         437  0.43700002075638622       0.46700075423648740     
         438  0.43800002080388367       0.46821884399880098     
         439  0.43900002085138112       0.46943807294258683     
         440  0.44000002089887857       0.47065844510487942     
         441  0.44100002094637603       0.47187996453484704     
         442  0.44200002099387348       0.47310263529385022     
         443  0.44300002104137093       0.47432646145550084     
         444  0.44400002108886838       0.47555144710572145     
         445  0.44500002113636583       0.47677759634280475     
         446  0.44600002118386328       0.47800491327747358     
         447  0.44700002123136073       0.47923340203294107     
         448  0.44800002127885818       0.48046306674497108     
         449  0.44900002132635564       0.48169391156193903     
         450  0.45000002137385309       0.48292594064489308     
         451  0.45100002142135054       0.48415915816761551     
         452  0.45200002146884799       0.48539356831668440     
         453  0.45300002151634544       0.48662917529153576     
         454  0.45400002156384289       0.48786598330452591     
         455  0.45500002161134034       0.48910399658099407     
         456  0.45600002165883780       0.49034321935932551     
         457  0.45700002170633525       0.49158365589101477     
         458  0.45800002175383270       0.49282531044072936     
         459  0.45900002180133015       0.49406818728637386     
         460  0.46000002184882760       0.49531229071915406     
         461  0.46100002189632505       0.49655762504364170     
         462  0.46200002194382250       0.49780419457783953     
         463  0.46300002199131995       0.49905200365324659     
         464  0.46400002203881741       0.50030105661492374     
         465  0.46500002208631486       0.50155135782155991     
         466  0.46600002213381231       0.50280291164553814     
         467  0.46700002218130976       0.50405572247300268     
         468  0.46800002222880721       0.50530979470392567     
         469  0.46900002227630466       0.50656513275217474     
         470  0.47000002232380211       0.50782174104558064     
         471  0.47100002237129956       0.50907962402600548     
         472  0.47200002241879702       0.51033878614941097     
         473  0.47300002246629447       0.51159923188592737     
         474  0.47400002251379192       0.51286096571992279     
         475  0.47500002256128937       0.51412399215007254     
         476  0.47600002260878682       0.51538831568942900     
         477  0.47700002265628427       0.51665394086549210     
         478  0.47800002270378172       0.51792087222027994     
